unnamed0,unnamed1,unnamed2,unnamed3,unnamed4,unnamed5,unnamed6,unnamed7,MPU6050 is online...x-axis self test: acceleration trim within,y-axis self test: acceleration trim within,z-axis self test: acceleration trim within,x-axis self test: gyration trim within,y-axis self test: gyration trim within,z-axis self test: gyration trim within
7.09,-0.01,0,1.01,1.24,0.8,0.41,24.16,,,,,,
7.18,-0.01,0,1,1.24,0.63,0.11,24.15,,,,,,
6.82,-0.02,0,1,1.24,0.94,-0.01,24.15,,,,,,
6.91,-0.01,0,1.01,1.24,0.7,0.22,24.15,,,,,,
7.45,-0.02,0,1,1.24,1.01,0.11,24.12,,,,,,
7.37,-0.01,0,1,1.23,0.69,0.04,24.13,,,,,,
7.09,-0.01,0,1,1.24,1,0.12,24.13,,,,,,
6.9,-0.01,0,1,1.24,0.66,0.19,24.12,,,,,,
6.82,-0.01,0,1,1.24,0.83,-0.1,24.14,,,,,,
6.88,-0.01,0,1,1.24,0.65,0.2,24.14,,,,,,
6.45,-0.01,0,1,1.24,0.97,0.13,24.17,,,,,,
6.5,-0.01,0,1,1.25,0.69,0.3,24.13,,,,,,
6.85,-0.01,0,1,1.24,0.72,-0.02,24.13,,,,,,
6.87,-0.01,0,1,1.25,0.87,0.3,24.14,,,,,,
7.57,-0.01,0,1,1.25,0.71,0,24.16,,,,,,
7.85,-0.01,0,1.01,1.25,0.95,0.23,24.13,,,,,,
7.16,-0.01,0,1,1.25,0.73,-0.01,24.12,,,,,,
7.02,-0.01,0,1,1.25,0.74,0.33,24.15,,,,,,
6.73,-0.01,0,1,1.25,0.77,0,24.14,,,,,,
6.84,-0.01,0.01,1,1.26,0.63,0.3,24.14,,,,,,
6.73,-0.01,0,1,1.24,0.7,-0.02,24.13,,,,,,
6.52,-0.01,0,1,1.26,0.72,0.31,24.16,,,,,,
6.64,-0.01,0,1,1.25,0.82,-0.01,24.12,,,,,,
6.45,-0.01,0,1,1.26,0.61,0.24,24.14,,,,,,
6.64,-0.01,0,1,1.26,0.89,0.06,24.12,,,,,,
7.47,-0.01,0,1,1.25,0.56,0.12,24.13,,,,,,
7.36,-0.01,0,1,1.26,0.72,0.41,24.13,,,,,,
7.1,-0.01,0,1,1.25,0.69,0.08,24.13,,,,,,
6.91,-0.01,0,1,1.25,1.02,0.01,24.11,,,,,,
